0,0,0,0,0,0,0,8,0,0,8,8,0,0,8,8,0,0,8,0,8,8,0,0,8,0,8,8,0,8,8,0,0,0,8,8,0,0,8,0,8,0,0,8,8,0,0,0,0,0,8,0,8,8,0,0
-11111,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,8,8,0,0,8,0,8,8,0,0,8,0,8,8,0,0,0,8,8,8,8,8,0,0,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0
-11111,-111,1,1,1,1,1,9,1,1,1,9,9,1,9,9,1,1,9,1,1,1,9,1,9,1,1,1,1,9,9,1,1,1,1,1,9,9,1,1,9,9,1,1,9,1,1,1,1,9,1,9,1,0,0,0
-11111,-111,1,1,1,1,1,9,1,1,1,9,9,9,9,9,1,1,9,1,9,9,1,1,9,1,9,9,9,1,1,1,9,1,9,9,9,1,1,1,9,1,9,9,9,1,9,1,1,9,1,9,0,0,0,0
-11111,-111,-111,2,2,2,2,10,2,2,2,10,2,10,2,10,2,10,10,2,2,10,10,2,10,2,2,2,10,2,10,2,2,10,2,10,2,10,10,2,10,10,10,2,10,2,2,2,2,10,2,10,2,2,0,0
-11111,-111,-111,2,2,2,10,2,2,2,10,10,2,10,2,10,2,2,10,2,2,10,2,2,10,10,2,2,2,10,2,2,2,2,10,2,2,2,2,2,10,2,10,10,10,2,2,2,2,10,2,10,0,0,0,0
-11111,-111,-111,3,3,3,3,11,3,3,3,11,3,11,3,11,3,3,3,3,3,11,3,11,11,3,11,3,11,11,11,3,3,3,11,3,11,11,11,3,3,3,11,11,3,3,11,3,3,11,3,3,3,0,0,0
-11111,-111,-111,3,3,3,3,11,3,3,3,11,3,3,11,11,11,11,11,3,3,11,3,3,11,3,3,3,11,11,11,11,3,3,3,3,3,11,11,3,3,11,11,11,11,3,3,3,3,3,11,11,0,0,0,0
-11111,-111,-111,-111,4,12,12,4,12,4,4,4,4,4,4,12,12,12,4,4,4,4,4,12,4,12,4,12,4,12,4,4,4,4,12,12,12,12,4,4,12,4,12,4,12,12,4,12,4,4,4,4,4,4,12,0
-11111,-111,-111,-111,4,4,12,4,4,4,4,4,12,4,4,12,4,12,4,12,4,4,4,12,12,4,4,12,12,12,4,4,4,4,12,12,12,12,12,4,4,4,12,4,4,12,12,4,4,12,12,12,0,0,0,0
-11111,-111,-111,-111,5,5,13,5,5,5,5,5,13,5,5,5,5,13,5,13,5,5,5,13,13,5,5,13,13,13,5,5,5,5,5,5,13,13,5,13,13,13,13,5,5,5,5,5,13,5,13,5,5,0,0,0
-11111,-111,-111,-111,5,5,13,13,5,5,5,5,13,13,5,13,5,13,5,5,5,5,5,13,13,5,5,13,5,13,5,5,13,5,13,13,13,13,5,5,13,13,13,5,5,13,5,13,5,5,13,5,0,0,0,0
-11111,-111,-111,-111,6,6,6,14,6,6,6,14,14,6,6,14,6,6,14,14,6,14,6,14,6,6,6,14,14,6,6,6,14,6,14,14,14,14,6,14,6,6,6,6,6,14,6,6,6,6,6,6,6,14,0,0
-11111,-111,-111,-111,6,6,14,6,14,6,6,14,14,6,6,6,6,6,14,6,6,6,6,6,6,6,6,14,14,14,6,6,6,6,14,14,14,6,6,6,14,14,14,14,14,6,6,14,6,6,6,6,0,0,0,0
-11111,-111,-111,-111,7,7,15,15,7,15,7,15,7,7,7,7,7,15,7,7,7,7,7,7,15,7,7,15,15,7,7,7,7,7,15,15,15,7,7,7,15,15,15,7,7,7,15,7,7,7,7,15,7,0,0,0
-11111,-111,-111,-111,7,7,15,15,7,15,7,15,15,7,7,7,7,7,15,7,7,7,7,15,7,15,7,15,15,7,7,7,7,7,15,15,15,7,7,15,15,15,7,7,7,7,7,7,7,15,15,7,0,0,0,0
